Sl. No.,State/ UT,No. of PCS as on 31st March 2024
1,Andaman and Nicobar Islands,3
2,Andhra Pradesh,327
3,Arunachal Pradesh,9
4,Assam,86
5,Bihar,124
6,Chandigarh,12
7,Chhattisgarh,149
8,Delhi,1886
9,Goa,113
10,Gujarat,476
11,Haryana,377
12,Himachal Pradesh,44
13,Jammu and Kashmir,47
14,Jharkhand,135
15,Karnataka,5130
16,Kerala,958
17,Lakshadweep,1
18,Madhya Pradesh,341
19,Maharashtra,3083
20,Manipur,17
21,Meghalaya,21
22,Nagaland,6
23,Odisha,198
24,Puducherry,23
25,Punjab,158
26,Rajasthan,500
27,Sikkim,2
28,Tamil Nadu,643
29,Telangana,483
30,Tripura,18
31,Dadra and Nagar Haveli and Daman and Diu,1
32,Uttar Pradesh,583
33,Uttarakhand,76
34,West Bengal,318
Total Operational PCS,Total Operational PCS,16348
